iter	Passed	Remaining
1084	1639556	28582690
1085	1641231	28584025
1086	1642846	28584328
1087	1644474	28584835
1088	1646329	28589282
1089	1647926	28589249
1090	1649463	28588183
1091	1650741	28582627
1092	1652250	28581062
1093	1653941	28582644
1094	1655615	28583935
1095	1657011	28580432
1096	1658740	28582650
1097	1660380	28583336
1098	1661971	28583188
1099	1663617	28583967
1100	1665057	28581221
1101	1666190	28573196
1102	1667641	28570641
1103	1669181	28569610
1104	1670725	28568650
1105	1672315	28568474
1106	1673890	28568035
1107	1675396	28566415
1108	1676640	28560330
1109	1677603	28549483
1110	1679186	28549190
1111	1679855	28533374
1112	1681412	28532654
1113	1682946	28531535
1114	1684366	28528492
1115	1685723	28524371
1116	1687327	28524450
1117	1688740	28521284
1118	1690367	28521734
1119	1691968	28521748
1120	1692873	28510048
1121	1694583	28511891
1122	1696152	28511364
1123	1697809	28512315
1124	1699137	28507755
1125	1700855	28509721
1126	1702343	28507839
1127	1703460	28499738
1128	1705156	28501340
1129	1706795	28501967
1130	1708341	28501055
1131	1709902	28500382
1132	1711694	28503560
1133	1713317	28503927
1134	1714925	28504032
1135	1716387	28501700
1136	1717667	28496357
1137	1719564	28501249
1138	1721149	28500959
1139	1722717	28500394
1140	1724326	28500504
1141	1725860	28499368
1142	1727439	28498973
1143	1728991	28498125
1144	1730595	28498143
1145	1732095	28496442
1146	1733367	28491003
1147	1734937	28490461
1148	1736487	28489575
1149	1738239	28492009
1150	1739711	28489859
1151	1741226	28488406
1152	1742925	28489947
1153	1744626	28491542
1154	1746302	28492707
1155	1747869	28492090
1156	1749457	28491820
1157	1751095	28492343
1158	1752677	28491967
1159	1754056	28488298
1160	1755656	28488208
1161	1757181	28486909
1162	1759039	28490996
1163	1760522	28489010
1164	1762039	28487560
1165	1763514	28485449
1166	1765122	28485484
1167	1766592	28483279
1168	1768090	28481530
1169	1769577	28479606
1170	1771190	28479717
1171	1772630	28477039
1172	1774283	28477786
1173	1776082	28480863
1174	1777593	28479312
1175	1779254	28480182
1176	1780825	28479584
1177	1782278	28477114
1178	1783581	28472256
1179	1785156	28471733
1180	1786844	28473007
1181	1788307	28470702
1182	1789840	28469510
1183	1791324	28467537
1184	1792966	28468064
1185	1794461	28466271
1186	1796111	28466925
1187	1797708	28466744
1188	1799414	28468286
1189	1801051	28468721
1190	1802613	28467979
1191	1804187	28467418
1192	1805880	28468734
1193	1807593	28470354
1194	1809112	28468925
1195	1810711	28468744
1196	1812349	28469181
1197	1814164	28472395
1198	1815776	28472401
1199	1817543	28474842
1200	1819279	28476790
1201	1820913	28477151
1202	1822557	28477645
1203	1824049	28475769
1204	1825607	28474933
1205	1826799	28468377
1206	1828344	28467341
1207	1829950	28467244
1208	1831556	28467148
1209	1832931	28463449
1210	1834420	28461543
1211	1836035	28461579
1212	1837610	28460995
1213	1839242	28461287
1214	1840783	28460177
1215	1842262	28458110
1216	1843768	28456459
1217	1844768	28446991
1218	1846292	28445628
1219	1847900	28445546
1220	1849520	28445649
1221	1851020	28443912
1222	1852536	28442422
1223	1853883	28438329
1224	1855551	28439170
1225	1857435	28443306
1226	1859166	28445095
1227	1860766	28444883
1228	1862436	28445720
1229	1863761	28441304
1230	1865434	28442188
1231	1866906	28440014
1232	1868502	28439735
1233	1870123	28439824
1234	1871911	28442450
1235	1873741	28445700
1236	1875294	28444741
1237	1876825	28443464
1238	1878352	28442110
1239	1879915	28441299
1240	1881458	28440190
1241	1883020	28439371
1242	1884536	28437848
1243	1886140	28437654
1244	1887823	28438654
1245	1889332	28437034
1246	1890913	28436493
1247	1891795	28425436
1248	1892933	28418252
1249	1894625	28419376
1250	1896128	28417669
1251	1897479	28413698
1252	1898964	28411726
1253	1900497	28410471
1254	1902015	28408989
1255	1903752	28410775
1256	1905227	28408654
1257	1906684	28406271
1258	1908303	28406287
1259	1909708	28403130
1260	1911348	28403456
1261	1912948	28403197
1262	1914591	28403567
1263	1915865	28398462
1264	1917395	28397157
1265	1918958	28396343
1266	1920474	28394825
1267	1921856	28391344
1268	1923506	28391809
1269	1925076	28391089
1270	1926523	28388561
1271	1928106	28388030
1272	1929691	28387529
1273	1931114	28384658
1274	1932433	28380245
1275	1933915	28378245
1276	1935644	28379846
1277	1937207	28379026
1278	1938746	28377854
1279	1940222	28375755
1280	1941761	28374576
1281	1943606	28377861
1282	1945306	28379039
1283	1946909	28378776
1284	1948439	28377471
1285	1950009	28376729
1286	1951699	28377745
1287	1953326	28377829
1288	1954898	28377121
1289	1956374	28375015
1290	1957922	28373956
1291	1959490	28373186
1292	1961200	28374455
1293	1962981	28376763
1294	1964265	28371875
1295	1965916	28372305
1296	1967518	28372009
1297	1968918	28368815
1298	1970403	28366828
1299	1972050	28367188
1300	1973717	28367826
1301	1975089	28364221
1302	1976633	28363093
1303	1978488	28366420
1304	1980063	28365742
1305	1981695	28365867
1306	1983165	28363660
1307	1984706	28362490
1308	1986287	28361883
1309	1987888	28361556
1310	1989464	28360868
1311	1991013	28359805
1312	1992139	28352709
1313	1993579	28350102
1314	1994909	28345923
1315	1996456	28344823
1316	1997944	28342893
1317	1999627	28343732
1318	2000912	28338933
1319	2002475	28338067
1320	2004143	28338685
1321	2005872	28340157
1322	2007423	28339116
1323	2009164	28340745
1324	2010616	28338313
1325	2012099	28336312
1326	2013602	28334583
1327	2015261	28335058
1328	2016816	28334069
1329	2018418	28333735
1330	2020165	28335438
1331	2021617	28332993
1332	2023258	28333201
1333	2024863	28332913
1334	2026540	28333615
1335	2027954	28330639
1336	2029457	28328916
1337	2031124	28329478
1338	2032752	28329498
1339	2034371	28329385
1340	2035941	28328580
1341	2037462	28327111
1342	2039014	28326054
1343	2040773	28327873
1344	2042253	28325832
1345	2043957	28326887
1346	2045622	28327386
1347	2047131	28325734
1348	2048756	28325687
1349	2050401	28325917
1350	2051859	28323561
1351	2053051	28317538
1352	2054560	28315883
1353	2056115	28314868
1354	2057763	28315124
1355	2059128	28311495
1356	2060964	28314347
1357	2062318	28310566
1358	2063739	28307702
1359	2065329	28307156
1360	2066871	28305964
1361	2068139	28301015
1362	2069708	28300182
1363	2070946	28294841
1364	2072557	28294584
1365	2074146	28294032
1366	2075610	28291768
1367	2077257	28292002
1368	2079001	28293556
1369	2080613	28293303
1370	2082445	28296051
1371	2084124	28296696
1372	2085560	28294057
1373	2086735	28287868
1374	2088412	28288492
1375	2090022	28288214
1376	2091499	28286122
1377	2092442	28276824
1378	2093208	28265144
1379	2093944	28253081
1380	2095252	28248733
1381	2096934	28249434
1382	2098373	28246870
1383	2099833	28244576
1384	2101295	28242321
1385	2102972	28242946
1386	2104696	28244207
1387	2106120	28241435
1388	2107638	28239925
1389	2109273	28239986
1390	2110743	28237830
1391	2112310	28236982
1392	2114047	28238399
1393	2115661	28238155
1394	2117360	28239055
1395	2118923	28238144
1396	2120570	28238352
1397	2122245	28238923
1398	2123827	28238247
1399	2125480	28238526
1400	2126815	28234574
1401	2128321	28232893
1402	2130113	28235009
1403	2131900	28237050
1404	2133771	28240200
1405	2135342	28239368
1406	2136714	28235914
1407	2138444	28237189
1408	2140142	28238032
1409	2141161	28229924
1410	2142928	28231672
1411	2144258	28227675
1412	2146042	28229652
1413	2147201	28223401
1414	2148620	28220568
1415	2150402	28222520
1416	2152317	28226196
1417	2154109	28228250
