iter	Passed	Remaining
149	247831	82362515
150	249612	82403414
151	251594	82509719
152	253756	82673259
153	255872	82819693
154	258017	82973338
155	259830	83019080
156	261999	83177357
157	264230	83352922
158	266275	83468296
159	268555	83655039
160	270420	83711170
161	272492	83830215
162	274534	83938446
163	276796	84112484
164	278984	84261888
165	281399	84477374
166	283431	84576150
167	285368	84645812
168	287691	84828154
169	289767	84935968
170	291872	85051046
171	293910	85145121
172	295824	85202510
173	297999	85334057
174	300035	85424365
175	301963	85483263
176	303981	85566539
177	305902	85621731
178	307879	85692015
179	309875	85766623
180	312197	85930093
181	314260	86020975
182	316400	86131803
183	318540	86241362
184	320234	86229668
185	322317	86322252
186	324056	86322167
187	326207	86431117
188	328487	86572971
189	330716	86700061
190	332818	86792549
191	334806	86854405
192	336652	86879144
193	338863	86997090
194	340666	87009731
195	342838	87115870
196	344984	87214546
197	347125	87310813
198	349160	87379671
199	350803	87350035
200	352763	87399328
201	354636	87426622
202	356685	87496840
203	358456	87498637
204	360521	87571433
205	362480	87618133
206	364592	87701175
207	365564	87510475
208	367965	87662157
209	370241	87782572
210	372083	87799275
211	374272	87897466
212	376030	87894078
213	378329	88016483
214	380729	88160999
215	382615	88185791
216	384636	88241208
217	386881	88347364
218	388832	88385701
219	390965	88464727
220	393120	88548243
221	395303	88637109
222	397432	88712885
223	399651	88808305
224	401989	88929074
225	403931	88961466
226	406119	89047494
227	408216	89112875
228	410239	89161622
229	412025	89158726
230	413673	89126099
231	415853	89207784
232	417971	89275402
233	419932	89309280
234	421951	89354935
235	423376	89275138
236	425753	89395687
237	427679	89420863
238	429477	89419283
239	431436	89451188
240	433506	89505634
241	435706	89586387
242	437858	89656485
243	439985	89720900
244	442022	89766678
245	444053	89810712
246	446376	89913150
247	448521	89979208
248	450658	90042942
249	452886	90124421
250	455058	90194062
251	456857	90189375
252	458951	90243017
253	460748	90237765
254	462549	90233408
255	463852	90132334
256	465979	90191532
257	468062	90241629
258	470021	90267742
259	472001	90297566
260	474153	90359771
261	476296	90420031
262	478057	90407322
263	480177	90462459
264	482397	90536025
265	484454	90578465
266	486321	90585067
267	488360	90623738
268	490457	90672554
269	492627	90734774
270	494453	90733112
271	496556	90782133
272	498640	90827544
273	500455	90823531
274	502436	90849574
275	504293	90853215
276	506489	90917673
277	508367	90924597
278	509929	90875342
279	511856	90891097
280	514059	90955571
281	515996	90972706
282	517892	90982612
283	519322	90910664
284	521216	90920281
285	523438	90986829
286	525622	91046309
287	527711	91088855
288	529516	91082263
289	531611	91125512
290	533635	91156351
291	535799	91210629
292	537619	91206246
293	539808	91264393
294	541814	91291104
295	543641	91287686
296	545826	91344125
297	547891	91380240
298	549798	91389710
299	551524	91369226
300	553892	91454804
301	556137	91519529
302	558495	91602435
303	560629	91648223
304	562642	91673880
305	564620	91693622
306	566799	91745768
307	569188	91831600
308	571130	91844741
309	572964	91840649
310	574982	91865855
311	576949	91882866
312	578971	91908489
313	581354	91991051
314	583205	91989018
315	585136	91999765
316	587166	92025884
317	589328	92072455
318	591263	92083289
319	593533	92146110
320	595630	92181782
321	597529	92186533
322	599750	92240884
323	601531	92227383
324	603564	92252505
325	605656	92286379
326	607586	92295589
327	609428	92291283
328	611443	92313143
329	613321	92314191
330	615447	92352476
331	617712	92411314
332	619886	92456099
333	621730	92451626
334	623563	92445575
335	625297	92424895
336	627339	92449755
337	629286	92460484
338	631370	92491066
339	633370	92509346
340	635527	92550376
341	637220	92523726
342	639365	92562593
343	641637	92619619
344	643255	92582133
345	645320	92609100
346	647390	92636575
347	649423	92658497
348	651289	92656609
349	653393	92688573
350	655412	92708253
351	657486	92735521
352	659739	92787823
353	662109	92856222
